"num" "sf" "shift" "freq" "LM" "MW" "C" "N" "P" "O" "cansmi" "envlab" "ref" "rho_vac" "rho_chcl3" "rho_dmso" "rho_h2o" "rho_tol" "rho_acn" "rho_kt3" "rho_r2s" "delta_vac" "delta_chcl3" "delta_dmso" "delta_h2o" "delta_tol" "delta_acn" "delta_kt3" "delta_r2s" "delta_ens_bol" "delta_ens_min" "delta_ens_max"
"13" "Lan1-CMP51" "C2H4ClPS2" 169.4 NA "toluene-d8" 158.609921 2 0 1 0 "ClP1SCCS1" "S1S1Cl1" "De Lima, L.C.G., De Lima, M.B.G., Matos, R.M., Do Rosario Menezes, M., Raslan, D.S., De Souza, E., De Souza, A.L.A.B.: Phosphorus, Sulfur Silicon Relat. Elem. 166 (2000) 1." 12.276 -8.776 -18.284 -18.537 -1.11 -17.882 81.433 131.349 251.157 271.123 280.462 280.682 263.733 280.066 225.152 211.296 251.727631 251.727631 251.727631
"14" "Lan1-CMP53" "C2H4Na3O6PS" 14.74 NA "D2O" 256.057631 2 0 1 6 "[Na]OS(=O)(=O)CCP(=O)(O[Na])O[Na]" "O1O1C1O2" "Prishchenko, A.A., Livantsov, M.V., Novikova, O.P., Livantsova, L.I., Petrosyan, V.S.: Heteroatom Chem. 19 (2008) 470." NA NA NA NA NA NA 290.317 320.485 NA NA NA NA NA NA 16.268 22.16 NA NA NA
"15" "Lan1-CMP54" "C2H5Cl2OP" 177.9 NA "CDCl3" 146.940261 2 0 1 1 "CCP(=O)(Cl)Cl" "C1O2Cl1Cl1" "Majewski, P.: Phosphorus, Sulfur Silicon Relat. Elem. 184 (2009) 942." 198.191 182.121 177.225 177.264 187.044 177.394 254.052 282.766 65.242 80.226 84.953 84.881 75.579 84.79 52.533 59.879 64.2894960477103 63.303316 65.409326
"16" "Lan1-CMP55" "C2H5Cl2OP" 54.4 NA "CDCl3" 146.940261 2 0 1 1 "CCP(=O)(Cl)Cl" "C1O2Cl1Cl1" "Purnanand, Shakya, P.D., Saxena, S., Sharma, M., Lal, B.: Phosphorus, Sulfur Silicon Relat. Elem. 177 (2002) 1093." 198.152 181.97 177.065 177.104 186.919 177.235 254.047 282.751 65.281 80.377 85.113 85.041 75.704 84.949 52.538 59.894 63.9929864643631 63.011275 68.1636
"17" "Lan1-CMP57" "C2H7O2P" -57.3 NA "D2O" 94.049541 2 0 1 2 "[2H]OCPCO[2H]" "C1C1H1" "Moiseev, D.V., James, B.R., Hu, T.Q.: Phosphorus, Sulfur Silicon Relat. Elem. 187 (2012) 433." 336.242 323.086 321.599 321.544 325.74 321.608 381.534 419.313 -72.809 -60.739 -59.421 -59.399 -63.117 -59.424 -74.949 -76.668 -48.6407881528818 -100.391399 -39.911615
"18" "Lan1-CMP58" "C2H5Na2O5PS" 23.08 NA "D2O" 218.076401 2 0 1 5 "[Na]OP(=O)CCS(=O)(=O)O[Na]" "H1O2O1C1" "Prishchenko, A.A., Livantsov, M.V., Novikova, O.P., Livantsova, L.I., Petrosyan, V.S.: Heteroatom Chem. 19 (2008) 470." NA NA NA NA NA NA 271.807 300.597 NA NA NA NA NA NA 34.778 42.048 NA NA NA
"19" "Lan1-CMP59" "C2H5O3P" 20.2 NA "CDCl3" 108.033061 2 0 1 3 "C=CP(=O)(O)O" "C1O2O1O1" "Okucu, S., Fischer, R., Thönnessen, H., Fild, M., Jones, P.G., Schmutzler, R.: Phosphorus, Sulfur Silicon Relat. Elem. 174 (2001) 49." 250.703 249.266 248.687 248.733 249.722 248.706 292.669 320.985 12.73 13.081 13.491 13.412 12.901 13.478 13.916 21.66 12.481794638611 -3.08649500000001 13.108022
"20" "Lan1-CMP60" "C2H5O3P" 10.1 NA "dioxane" 108.033061 2 0 1 3 "O=P1OCCO1" "O2O1O1H1" "Tzokov, J.B., Vassilev, N.G., Momtcheva, R.T., Kaneti, J., Petkov, D.D.: Phosphorus, Sulfur Silicon Relat. Elem. 166 (2000) 187." 254.91 246.011 243.389 243.438 248.635 243.482 295.754 322.934 8.523 16.336 18.789 18.707 13.988 18.702 10.831 19.711 8.64796200000001 8.64796200000001 8.64796200000001
"21" "Lan1-CMP61" "C2H5O5P" 7.2 NA "DMSO" 140.031861 2 0 1 5 "CC(=O)OP(=O)(O)O" "O1O1O1O2" "Devedjiev, I.T.: Phosphorus, Sulfur Silicon Relat. Elem. 181 (2006) 1785." 281.71 277.514 276.101 276.142 279.089 276.139 320.92 348.309 -18.277 -15.167 -13.923 -13.997 -16.466 -13.955 -14.335 -5.66400000000004 -12.2280610681378 -21.603768 -8.38019000000003
"22" "Lan1-CMP62" "C2H6ClO2P" 42.8 NA "CDCl3" 128.494601 2 0 1 2 "COP(=O)(Cl)C" "C1Cl1O2O1" "Pienaar, A., Modro, A.M., Modro, T.A.: Heteroatom Chem. 7 (1996) 177." 230.099 213.5 208.314 208.35 218.738 208.5 278.48 307.008 33.334 48.847 53.864 53.795 43.885 53.684 28.105 35.637 41.6802599033312 33.312832 41.749234
