"num" "sf" "shift" "freq" "LM" "MW" "C" "N" "P" "O" "cansmi" "envlab" "ref" "rho_vac" "rho_chcl3" "rho_dmso" "rho_h2o" "rho_tol" "rho_acn" "rho_kt3" "rho_r2s" "delta_vac" "delta_chcl3" "delta_dmso" "delta_h2o" "delta_tol" "delta_acn" "delta_kt3" "delta_r2s" "delta_ens_bol" "delta_ens_min" "delta_ens_max"
"2448" "Lan1-CMP3299" "C15H15ClN3O3P" 38.65 NA "CDCl3" 351.724661 15 3 1 3 "O=c1n(c2ccccc2)c(=O)n2n1C1C=C(C2(CP1(=O)C)C)Cl" "C1C1O2C1" "Keglevich, G., Szelke, H., Tamas, A., Harmat, V., Ludanyi, K., Vasko, A.G., Toke, L.: Heteroatom Chem. 13 (2002) 626." 243.348 230.687 226.269 226.305 234.895 226.428 293.306 321.468 20.085 31.66 35.909 35.84 27.728 35.756 13.279 21.177 21.0519479827901 20.006611 21.350842
"2449" "Lan1-CMP3300" "C15H15ClN3O3P" 38.76 NA "CDCl3" 351.724661 15 3 1 3 "O=c1n(c2ccccc2)c(=O)n2n1C1CP(=O)(C2C(=C1Cl)C)C" "C1C1O2C1" "Keglevich, G., Szelke, H., Tamas, A., Harmat, V., Ludanyi, K., Vasko, A.G., Toke, L.: Heteroatom Chem. 13 (2002) 626." 243.52 230.378 225.731 225.847 234.69 225.985 293.798 322.155 19.913 31.969 36.447 36.298 27.933 36.199 12.787 20.49 17.4960198912251 16.959476 19.870044
"2450" "Lan1-CMP3303" "C15H15Cl4N2O3PS" 60.34 NA "CDCl3" 476.141961 15 2 1 3 "COc1ccc(cc1)OP(=S)(OC(C(Cl)(Cl)Cl)Cl)NNc1ccccc1" "O1S2O1N1" "He, L.-N., Ding, M.-W., Li, S.-B., Zhou, Q.-C., Luo, Y.-P., Wu, T.-J., Liu, X.-P., Cai, F.: Heteroatom Chem. 10 (1999) 441." 173.426 171.818 171.458 171.5 172.333 171.459 230.871 262.257 90.007 90.529 90.72 90.645 90.29 90.725 75.714 80.388 72.4906019586229 68.167922 77.113612
"2451" "Lan1-CMP3304" "C15H15NNaO3P" 34.53 NA "DMSO-d6" 311.248031 15 1 1 3 "[Na]OP(=O)(C(c1cccnc1)O)C1Cc2c(C1)cccc2" "O2O1C1C1" "Prishchenko, A.A., Livantsov, M.V., Novikova, O.P., Livantsova, L.I., Petrosyan, V.S.: Heteroatom Chem. 19 (2008) 352." 216.644 217.987 218.93 218.998 217.397 218.891 263.705 292.299 46.789 44.36 43.248 43.147 45.226 43.293 42.88 50.346 42.1802999385732 33.526908 48.13683
"2452" "Lan1-CMP3305" "C15H15NO4P-" 48.3 NA "CDCl3" 304.257661 15 1 1 4 "O=C(NP(=O)(OCc1ccccc1)[O-])Cc1ccccc1" "N1O2O1O1" "Baraniak, J., Kaczmarek, R., Wasilewska, E., Korczynski, D., Stec, W.J.: Tetrahedron Lett. 45 (2004) 4269." NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"2453" "Lan1-CMP3306" "C15H15N2OPS2" 92 NA "CDCl3" 334.396161 15 2 1 1 "COc1ccc(cc1)P1(=S)SC(=NN1c1ccccc1)C" "S1N1C1S2" "Boukraa, M., El Efrit, M.L., Zantour, H.: Phosphorus, Sulfur Silicon Relat. Elem. 157 (2000) 145." 162.019 156.033 154.04 154.047 157.907 154.112 225.018 260.205 101.414 106.314 108.138 108.098 104.716 108.072 81.567 82.44 103.436247027645 101.019444 107.25146
"2454" "Lan1-CMP3307" "C15H23N2O3P" 71.57 NA "CDCl3" 310.328481 15 2 1 3 "CCCCCCC1CC(=NN1c1ccccc1)P(=O)(O)O" "O2O1O1C1" "He, L.-N., Chen, R.-Y.: Phosphorus, Sulfur Silicon Relat. Elem. 129 (1997) 111." 273.094 263.713 260.424 260.373 266.878 260.556 313.718 342.468 -9.661 -1.36600000000004 1.75400000000002 1.77199999999999 -4.255 1.62800000000004 -7.13300000000004 0.176999999999964 -1.74404402180534 -2.206524 0.13794200000001
"2455" "Lan1-CMP3308" "C15H15N2O3P" 4.84 NA "DMSO-d6" 302.264961 15 2 1 3 "OP(=O)(C1=NN(C(C1)c1ccccc1)c1ccccc1)O" "C1O1O1O2" "Conti, P., Pinto, A., Tamborini, L., Rizzo, V., De Micheli, C.: Tetrahedron 63 (2007) 5554." 266.01 260.463 259.096 259.14 262.348 259.139 307.48 336.721 -2.577 1.88399999999996 3.08199999999999 3.005 0.274999999999977 3.04500000000002 -0.895000000000039 5.92399999999998 0.331689592842819 -9.67967400000003 6.37000599999999
"2456" "Lan1-CMP3309" "C15H15N4O4P" 14.6 NA "CDCl3" 346.277761 15 4 1 4 "CCOP(=O)(/C(=C/1\NN=C2C(=Nc3c2cccc3)O1)/C#N)OCC" "C1O2O1O1" "Abdou, W.M., Ganoub, N.A.F.: Heteroatom Chem. 11 (2000) 196." 260.186 258.83 258.446 258.463 259.292 258.459 303.415 333.882 3.24700000000001 3.517 3.73199999999997 3.68199999999996 3.33100000000002 3.72500000000002 3.16999999999996 8.76299999999998 3.03091241640795 -1.05587200000002 11.012568
"2457" "Lan1-CMP3310" "C15H15N4O4PS" 3.3 NA "CDCl3" 378.342761 15 4 1 4 "CCOP(=O)(c1cccc(c1)[N+](=O)[O-])NNc1nc2c(s1)cccc2" "N1O2O1C1" "He, L.-N., Feng, B., Huang, T.-B., Zhou, Q.-C., Zhang, J.-L.: Phosphorus, Sulfur Silicon Relat. Elem. 148 (1999) 51." 256.424 255.533 255.396 255.575 254.444 255.02 299.651 329.872 7.00900000000001 6.81399999999999 6.78200000000001 6.56999999999999 8.179 7.16400000000002 6.93399999999997 12.773 8.68697175660334 6.78361899999999 10.67353
"2458" "Lan1-CMP3312" "C15H15N4PS" 48.1 NA "CDCl3" 314.345161 15 4 1 0 "CN(P1(=S)Nc2ccccc2-c2n1c1ccccc1n2)C" "N1N1N1S2" "Hernandez-Diaz, J., Flores-Parra, A., Contreras, R.: Heteroatom Chem. 15 (2004) 321." 216.05 210.912 209.992 209.993 212.296 210.014 273.338 304.857 47.383 51.435 52.186 52.152 50.327 52.17 33.247 37.788 48.5040254683603 48.491482 48.748322
"2459" "Lan1-CMP3314" "C15H15OP" 30.7 NA "CDCl3" 242.252761 15 0 1 1 "C=CCP(=O)(c1ccccc1)c1ccccc1" "C1O2C1C1" "Gonzalez-Nogal, A.M., Cuadrado, D., Sarmentero, M.A.: Tetrahedron 66 (2010) 9610." 256.886 248.543 245.677 245.673 251.404 245.78 303.002 335.444 6.54699999999997 13.804 16.501 16.472 11.219 16.404 3.58299999999997 7.20099999999996 9.01593557854917 0.141227000000015 16.143223
"2460" "Lan1-CMP3315" "C15H15OPS" 62.2 NA NA 274.317761 15 0 1 1 "CC(=O)CP(=S)(c1ccccc1)c1ccccc1" "C1C1S2C1" "Touil, S., Zantour, H.: Phosphorus, Sulfur Silicon Relat. Elem. 175 (2001) 183." 222.288 218.381 217.508 217.476 218.952 217.567 276.78 312.623 41.145 43.966 44.67 44.669 43.671 44.617 29.805 30.022 40.1048313085225 31.032362 41.61136
"2461" "Lan1-CMP3316" "C15H15O2P" 39.1 NA "CDCl3" 258.252161 15 0 1 2 "CCC[P@@]1(=O)Oc2ccccc2-c2c1cccc2" "O1C1C1O2" "Artner, J., Clesielski, M., Ahlmann, M., Walter, O., Doring, M., Perez, R.M., Altstadt, V., Sandler, J.K.W., Schartel, B.: Phosphorus, Sulfur Silicon Relat. Elem. 182 (2007) 2131." 237.961 226.81 223.241 223.252 230.406 223.372 284.023 315.27 25.472 35.537 38.937 38.893 32.217 38.812 22.562 27.375 25.2917341598641 20.141352 27.634122
"2462" "Lan1-CMP3317" "C15H15O2P" 31.1 NA NA 258.252161 15 0 1 2 "CC(=O)CP(=O)(c1ccccc1)c1ccccc1" "C1O2C1C1" "Touil, S., Zantour, H.: Phosphorus, Sulfur Silicon Relat. Elem. 175 (2001) 183." 258.78 251.471 248.034 248.387 254.223 248.533 304.514 336.927 4.65300000000002 10.876 14.144 13.758 8.39999999999998 13.651 2.07099999999997 5.71799999999996 11.4921414889768 3.12525899999997 15.839191
"2463" "Lan1-CMP3318" "C15H15O2P" 214.6 NA NA 258.252161 15 0 1 2 "CC(p1oc2ccccc2c2c(o1)cccc2)C" "O1O1C1" "Phelps, J.E., Frawley, S.B., Peters, R.G.: Heteroatom Chem. 20 (2009) 393." 20.218 15.437 13.852 13.818 16.882 13.905 68.962 115.333 243.215 246.91 248.326 248.327 245.741 248.279 237.623 227.312 247.439941639782 239.382205 250.658013
"2464" "Lan1-CMP3319" "C15H15O2P" 46.79 NA "CD3OD" 258.252161 15 0 1 2 "O=P1(OC(c2c1cccc2)(C)C)c1ccccc1" "C1O1C1O2" "Rodriguez, V.Y., Aguila, M.A. del, Iglesias, M.J., Ortiz, F.L.: Tetrahedron 68 (2012) 7355." 234.41 226.966 224.564 224.58 229.339 224.651 280.386 313.215 29.023 35.381 37.614 37.565 33.284 37.533 26.199 29.43 28.9990620552263 28.871254 29.124377
"2465" "Lan1-CMP3321" "C15H16ClN2O3P" 107 NA "CDCl3" 338.725901 15 2 1 3 "CCOC(=O)Cn1cccc/c/1=N/P(=O)(c1ccccc1)Cl" "N1O2Cl1C1" "Kabra, V., Kaushik, P., Ojha, S.: Phosphorus, Sulfur Silicon Relat. Elem. 182 (2007) 1093." 258.038 258.014 258.964 259.02 257.588 258.911 307.112 336.065 5.39499999999998 4.33299999999997 3.214 3.125 5.03499999999997 3.27300000000002 -0.527000000000044 6.57999999999998 22.1185579583877 4.22885600000001 30.374842
"2466" "Lan1-CMP3322" "C15H16ClN2O2PS" 65.2 NA "CDCl3" 354.791501 15 2 1 2 "CCOC(=O)Cn1cccc/c/1=N/P(=S)(c1ccccc1)Cl" "N1S2Cl1C1" "Kabra, V., Kaushik, P., Ojha, S.: Phosphorus, Sulfur Silicon Relat. Elem. 182 (2007) 1093." 195.314 193.071 192.105 191.985 193.889 192.153 257.683 288.81 68.119 69.276 70.073 70.16 68.734 70.031 48.902 53.835 82.2252078193247 79.377998 93.616716
"2467" "Lan1-CMP3323" "C15H16ClN4OP" 13.68 NA "CDCl3" 334.740501 15 4 1 1 "Clc1ccc(cc1)C1=NN(P(=O)(N(N1)C)c1ccccc1)C" "N1N1O2C1" "Rekik, A., Chabchoub, F., Belhadjamor, A., Salem, M.: Phosphorus, Sulfur Silicon Relat. Elem. 179 (2004) 365." 277.825 272.327 270.592 270.574 274.07 270.655 323.251 353.259 -14.392 -9.98000000000002 -8.41399999999999 -8.42900000000003 -11.447 -8.47099999999995 -16.666 -10.614 -3.38984007482939 -15.734693 1.081952
"2468" "Lan1-CMP3324" "C15H16ClN4O2P" -2.22 NA "CDCl3" 350.739901 15 4 1 2 "Clc1ccc(cc1)C1=NN(P(=O)(N(N1)C)Oc1ccccc1)C" "N1N1O2O1" "Rekik, A., Chabchoub, F., Belhadjamor, A., Salem, M.: Phosphorus, Sulfur Silicon Relat. Elem. 179 (2004) 365." 285.322 277.524 275.6 275.615 280.788 275.658 330.024 356.977 -21.889 -15.177 -13.422 -13.47 -18.165 -13.474 -23.439 -14.332 -18.6059358790332 -21.932189 -18.027692
"2469" "Lan1-CMP3325" "C15H16Cl2NO3P" 24.06 NA "CDCl3" 360.172201 15 1 1 3 "COP(=O)(C(c1ccc(cc1Cl)Cl)Nc1ccccc1)OC" "C1O2O1O1" "Maghsoodlou, M.T., Khorassani, S.M.H., Hazeri, N., Rostamizadeh, M., Sajadikhah, S.S., Shahkarami, Z., Malex, N.: Heteroatom Chem. 20 (2009) 316." 244.698 242.087 241.388 241.419 242.84 241.413 288.241 317.74 18.735 20.26 20.79 20.726 19.783 20.771 18.344 24.905 19.150635397705 13.267846 22.000274
"2470" "Lan1-CMP3326" "C15H16Cl2NO4P" 25.1 NA "CDCl3" 376.171601 15 1 1 4 "COP(=O)([C@@H](c1ccc(cc1)O)Nc1ccc(cc1Cl)Cl)OC" "C1O2O1O1" "Arigala, U.R.S., Matha, C., Yoon, K.R.: Heteroatom Chem. 23 (2012) 160." 243.355 241.967 241.199 241.234 242.451 241.246 287.24 315.763 20.078 20.38 20.979 20.911 20.172 20.938 19.345 26.882 19.3725293545088 12.568185 23.607189
"2471" "Lan1-CMP3327" "C15H16NOPS" 56.04 NA "CDCl3" 289.332401 15 1 1 1 "CCO/C=N/P(=S)(c1ccccc1)c1ccccc1" "N1S2C1C1" "Xu, X., Wang, Z., Zhou, Z., Zeng, Z., Ma, X., Zhao, G., Tang, C.: Heteroatom Chem. 19 (2008) 238." 209.709 205.941 203.262 203.238 207.876 203.265 265.062 301.006 53.724 56.406 58.916 58.907 54.747 58.919 41.523 41.639 53.658163990378 40.145581 57.628444
"2472" "Lan1-CMP3328" "C15H16NOPS" 87.31 NA "CDCl3" 289.332401 15 1 1 1 "CCOP(=S)(c1ccccc1)/N=C\c1ccccc1" "N1S2O1C1" "Xu, X., Wang, Z., Zhou, Z., Zeng, Z., Ma, X., Zhao, G., Tang, C.: Heteroatom Chem. 19 (2008) 238." 189.183 183.596 181.72 181.675 185.453 181.79 245.225 278.516 74.25 78.751 80.458 80.47 77.17 80.394 61.36 64.129 92.5761517277204 73.499604 93.01232
"2473" "Lan1-CMP3329" "C15H16NO2P" 23.54 NA "CDCl3" 273.266801 15 1 1 2 "COC(=O)N=P(c1ccccc1)(c1ccccc1)C" "C1N2C1C1" "Alvarez-Gutieroez, J.M., Peralta-Perez, E., Perez-Alvarez, I., Lopez-Ortiz, F.: Tetrahedron 57 (2001) 3075." 256.992 251.055 248.673 248.76 252.963 248.716 307.262 335.771 6.44099999999997 11.292 13.505 13.385 9.66 13.468 -0.677000000000021 6.87399999999997 8.26580668212238 7.798169 10.453407
"2474" "Lan1-CMP3332" "C15H16N3O2PS" -3.11 NA "CDCl3" 333.345201 15 3 1 2 "CCOP(=O)(c1ccccc1)NNc1nc2c(s1)cccc2" "N1O2O1C1" "He, L.-N., Feng, B., Huang, T.-B., Zhou, Q.-C., Zhang, J.-L.: Phosphorus, Sulfur Silicon Relat. Elem. 148 (1999) 51." 247.618 246.24 245.88 245.91 246.621 245.892 292.031 321.436 15.815 16.107 16.298 16.235 16.002 16.292 14.554 21.209 9.88398163251486 8.50728100000001 14.290755
"2475" "Lan1-CMP3333" "C14H14N3O3P" 0.38 NA "CDCl3" 303.253021 14 3 1 3 "O=C(NP1(=O)NCc2c(N1)cccc2)Oc1ccccc1" "N1N1O2N1" "Rao, L.N., Reddy, V.K., Reddy, C.D.: Heteroatom Chem. 11 (2000) 323." 278.866 274.081 273.409 273.415 275.607 273.428 323.864 350.838 -15.433 -11.734 -11.231 -11.27 -12.984 -11.244 -17.279 -8.19300000000004 -20.5133672437149 -29.088607 -11.974831
"2476" "Lan1-CMP3334" "C15H26N3O3P" 25 NA "CHCl3" 327.359001 15 3 1 3 "CC(n1ccc(c1)P(=O)(N1CCOCC1)N1CCOCC1)C" "O2N1N1C1" "Chaikovskaya, A.A., Dmitriv, Y., Ivonin, S.P., Pinchuk, A.M., Tolmachev, A.A.: Heteroatom Chem. 16 (2005) 599." 262.587 251.971 250.242 250.234 253.91 250.945 308.67 340.352 0.846000000000004 10.376 11.936 11.911 8.71299999999999 11.239 -2.08500000000004 2.29300000000001 7.41105446573104 1.60830900000002 8.998356
"2477" "Lan1-CMP3335" "C15H16N3O3PS" 13.21 NA "CDCl3" 349.344601 15 3 1 3 "CCOC(=O)NP1(=O)Nc2c(N1)cc(cc2)Sc1ccccc1" "N1N1O2N1" "Rao, L.N., Nagaraju, C., Reddy, C.D., Auschwitz, T.S., Brown, C.W., Klucik, J., Hickey, M.R., Wakefield, C.A., Berlin, K.D.: Phosphorus, Sulfur Silicon Relat. Elem. 158 (2000) 39." 270.271 264.649 263.044 263.032 266.391 263.102 316.569 342.319 -6.83800000000002 -2.30200000000002 -0.865999999999985 -0.887 -3.76800000000003 -0.91799999999995 -9.98400000000004 0.325999999999965 -14.5504452767052 -15.492923 -8.28709300000003
"2478" "Lan1-CMP3339" "C15H17BrNO4P" 24.63 NA "CDCl3" 386.177541 15 1 1 4 "COP(=O)(C(c1ccc(cc1)O)Nc1ccc(cc1)Br)OC" "C1O2O1O1" "Arigala, U.R.S., Matha, C., Yoon, K.R.: Heteroatom Chem. 23 (2012) 160." 249.512 245.494 244.253 244.277 246.759 244.298 292.49 321.28 13.921 16.853 17.925 17.868 15.864 17.886 14.095 21.365 20.5172657903732 13.684399 26.296969
"2479" "Lan1-CMP3341" "C14H15ClNO2P" 12.5 NA "CDCl3" 295.701161 14 1 1 2 "Cc1ccc(cc1)OP(=O)(N(c1ccccc1)C)Cl" "O2O1Cl1N1" "Gholivand, K., Dehghanpour, S., Gerivani, G., Bijanzadeh, H.R.: Phosphorus, Sulfur Silicon Relat. Elem. 157 (2000) 11." 256.126 252.954 251.732 251.75 254.071 251.775 304.617 332.499 7.30700000000002 9.39299999999997 10.446 10.395 8.55199999999999 10.409 1.96799999999996 10.146 9.23571116896418 8.57732799999999 9.94059799999999
"2480" "Lan1-CMP3342" "C15H19ClNO4P" 54.3 NA "CDCl3" 343.742421 15 1 1 4 "c1ccc(cc1)[P+]1(CCCN1)c1ccccc1.[O-][Cl](=O)(=O)=O" "C1N1C1C1" "Aladzheva, I.M., Lobanov, D.I., Bykhovskaya, O.V., Petrovski, P.V., Lyssenko, K.A., Mastryukova, T.A.: Heteroatom Chem. 14 (2003) 596." NA NA NA NA NA NA 272.033 294.978 NA NA NA NA NA NA 34.552 47.667 NA NA NA
"2481" "Lan1-CMP3345" "C15H17F6O5P" 16 NA "C6D6" 422.2566602 15 0 1 5 "CCOP(=O)(C(C(F)(F)F)c1cc(C)cc(c1O)C(=O)C(F)(F)F)OCC" "C1O2O1O1" "Sevenard, D.V., Schoth, R.-M., Kazakova, O., Lork, E., Röschenthaler, G.-V.: Heteroatom Chem. 19 (2008) 474." 257.695 256.412 255.956 255.997 256.934 255.971 300.647 329.533 5.738 5.935 6.22200000000001 6.14799999999997 5.68899999999996 6.21300000000002 5.93799999999999 13.112 13.3036632315721 4.07849900000002 14.697753
"2482" "Lan1-CMP3346" "C15H17F8O8PS" 12.09 NA "CDCl3" 540.316666599999 15 0 1 8 "CCOP(=O)(c1cc(OC)ccc1OS(=O)(=O)C(C(OC(C(F)F)(F)F)(F)F)(F)F)OCC" "C1O2O1O1" "Peng, A.-Y., Zhang, X.-Y., Ding, Y.-X.: Heteroatom Chem. 16 (2005) 529." 267.343 263.107 261.788 261.827 264.517 261.799 309.361 339.366 -3.91000000000003 -0.760000000000048 0.389999999999986 0.317999999999984 -1.89400000000001 0.385000000000048 -2.77600000000001 3.279 3.82936383139253 1.60023100000001 8.19802799999999
"2483" "Lan1-CMP3347" "C15H17INP" 53.8 NA "CDCl3" 369.180411 15 1 1 0 "c1ccc(cc1)[P+]1(CCCN1)c1ccccc1.[I-]" "C1C1N1C1" "Aladzheva, I.M., Lobanov, D.I., Bykhovskaya, O.V., Petrovski, P.V., Lyssenko, K.A., Mastryukova, T.A.: Heteroatom Chem. 14 (2003) 596." 22.74 0.815 -11.358 -11.374 9.74 -10.854 106.744 140.02 240.693 261.532 273.536 273.519 252.883 273.038 199.841 202.625 228.232029830646 222.146804 241.749758
"2484" "Lan1-CMP3348" "C15H16NOP" 21.6 NA "CDCl3" 257.267401 15 1 1 1 "CN1CCP(=O)(c2c1cccc2)c1ccccc1" "C1C1C1O2" "Huang, Z.-G., Jiang, B., Cheng, K.-J.: Phosphorus, Sulfur Silicon Relat. Elem. 182 (2007) 1609." 265.657 256.588 253.75 253.751 259.481 253.853 313.323 346.036 -2.22399999999999 5.75899999999996 8.428 8.39399999999998 3.142 8.33100000000002 -6.738 -3.39100000000002 -2.96025954639331 -5.56725399999999 0.291534000000013
"2485" "Lan1-CMP3350" "C15H17N2OP" 10.31 NA "CHCl3" 272.282041 15 2 1 1 "Cc1ccc2c(c1)Cc1cc(C)ccc1NP(=O)N2" "N1N1O2H1" "Zavalishina, A., Orzhekovskaya, E.I., Selezneva, N.A., Vasyanina, L.K., Belsky, V.K., Nifantyev, E.E.: Phosphorus, Sulfur Silicon Relat. Elem. 161 (2000) 205." 279.823 277.886 273.963 273.932 281.406 274.105 323.968 349.681 -16.39 -15.539 -11.785 -11.787 -18.783 -11.921 -17.383 -7.036 -1.28605531327329 -19.682328 4.96865099999997
"2486" "Lan1-CMP3351" "C15H17N2O2P" 5.61 NA "CDCl3" 288.281441 15 2 1 2 "Cc1ccc(c(c1)OP1(=O)NCc2c(N1)cccc2)C" "N1N1O1O2" "Rao, L.N., Reddy, V.K., Reddy, C.D.: Heteroatom Chem. 11 (2000) 323." 269.827 264.623 262.498 262.498 266.334 262.556 314.396 342.143 -6.39400000000001 -2.27600000000001 -0.319999999999993 -0.353000000000009 -3.71100000000001 -0.371999999999957 -7.81100000000004 0.50200000000001 -11.2030972025371 -13.776752 -4.37225599999999
"2487" "Lan1-CMP3352" "C15H17N2O2PS" 47.1 NA "CDCl3" 320.346441 15 2 1 2 "CC1COP(=S)(O1)/N=c/1\ccccn1Cc1ccccc1" "N1O1O1S2" "Kabra, V., Kaushik, P., Meel, A.: Phosphorus, Sulfur Silicon Relat. Elem. 182 (2007) 1365." 173.995 172.003 172.67 172.698 172.023 172.635 230.762 262.673 89.438 90.344 89.508 89.447 90.6 89.549 75.823 79.972 86.1072031985719 64.866876 89.653271
"2488" "Lan1-CMP3353" "C15H17N2O2PS2" 69.3 NA "C6H6" 352.411441 15 2 1 2 "CCOP(=S)(c1c(nc2n1ccs2)c1ccccc1)OCC" "C1S2O1O1" "Zarudnitskii, E.V., Yurchenko, A.A., Merkulov, A.S., Semenova, M.G., Pinchuk, A.M., Tolmachev, A.A.: Heteroatom Chem. 16 (2005) 648." 187.202 186.832 186.928 186.938 186.884 186.925 244.141 279.25 76.231 75.515 75.25 75.207 75.739 75.259 62.444 63.395 75.2623415647237 72.848757 78.307216
"2489" "Lan1-CMP3356" "C15H17N2O5P" 21.16 NA "CDCl3" 336.279641 15 2 1 5 "CCOP(=O)(C(c1ccc2c(c1)OCO2)C(C#N)C#N)OCC" "O2O1O1C1" "Mahran, M.R.T., Hafez, T.S., Henary, M.M.: Phosphorus, Sulfur Silicon Relat. Elem. 139 (1998) 13." 251.795 250.512 250.152 250.354 251.135 250.087 295.001 323.965 11.638 11.835 12.026 11.791 11.488 12.097 11.584 18.68 14.948879717153 10.934043 16.716788
"2490" "Lan1-CMP3357" "C15H17N2O6P" 25.44 NA "CDCl3" 352.279041 15 2 1 6 "COP(=O)(C(c1ccc(cc1)O)Nc1ccc(cc1)[N+](=O)[O-])OC" "O2O1O1C1" "Arigala, U.R.S., Matha, C., Yoon, K.R.: Heteroatom Chem. 23 (2012) 160." 259.008 NA 253.705 253.701 256.769 253.766 302.009 331.222 4.42500000000001 NA 8.47299999999998 8.44399999999999 5.85399999999998 8.41800000000003 4.57599999999996 11.423 19.1650476658979 12.087904 19.309158
"2491" "Lan1-CMP3360" "C15H17N4OP" 13.81 NA "CDCl3" 300.295441 15 4 1 1 "CN1NC(=NN(P1(=O)c1ccccc1)C)c1ccccc1" "N1N1C1O2" "Rekik, A., Chabchoub, F., Belhadjamor, A., Salem, M.: Phosphorus, Sulfur Silicon Relat. Elem. 179 (2004) 365." 269.846 264.337 262.539 262.521 266.118 262.604 317.286 345.797 -6.41300000000001 -1.99000000000001 -0.36099999999999 -0.376000000000033 -3.495 -0.419999999999959 -10.701 -3.15200000000004 -3.93154977459496 -15.696004 1.05558600000001
"2492" "Lan1-CMP3361" "C15H17N4O2P" -2.65 NA "CDCl3" 316.294841 15 4 1 2 "CN1NC(=NN(P1(=O)Oc1ccccc1)C)c1ccccc1" "N1N1O2O1" "Rekik, A., Chabchoub, F., Belhadjamor, A., Salem, M.: Phosphorus, Sulfur Silicon Relat. Elem. 179 (2004) 365." 282.269 NA 277.096 277.625 279.619 277.136 325.949 353.968 -18.836 NA -14.918 -15.48 -16.996 -14.952 -19.364 -11.323 -22.2129014481186 -26.363494 -14.212451
"2493" "Lan1-CMP3362" "C15H17N4O4PS" 15.4 NA "CDCl3" 380.358641 15 4 1 4 "CCOP(=O)(/C(=C\1/N=Nc2c(O1)[nH]c1c2cccc1)/C(=S)N)OCC" "C1O2O1O1" "Abdou, W.M., Ganoub, N.A.F.: Heteroatom Chem. 11 (2000) 196." 269.076 261.992 260.157 260.28 264.495 260.317 312.609 341.922 -5.64300000000003 0.354999999999961 2.02100000000002 1.86500000000001 -1.87200000000001 1.86700000000002 -6.024 0.722999999999956 -0.27797330404949 -10.276038 7.19542100000001
"2494" "Lan1-CMP3363" "C15H17N4PS3" 63.3 NA "CDCl3" 380.491041 15 4 1 0 "CSP1(=S)N=c2sc(nc2=C2N1CCN2C)c1ccc(cc1)C" "N1N1S2S1" "Kozachenko, A.P., Shablykin, O.V., Gakh, A.A., Rusanov, E.B., Brovarets, V.S.: Heteroatom Chem. 21 (2010) 492." 193.349 187.61 185.513 185.479 189.451 185.592 255.11 288.394 70.084 74.737 76.665 76.666 73.172 76.592 51.475 54.251 68.3538354566239 66.813095 74.692931
"2495" "Lan1-CMP3364" "C15H17O2P" -54 NA "CDCl3" 260.268041 15 0 1 2 "COCOc1ccc(cc1Pc1ccccc1)C" "C1C1H1" "Heinicke, J., Jux, U., Kadyrov, R., He, M.: Heteroatom Chem. 8 (1997) 383." 320.046 320.747 320.705 320.639 320.359 320.694 364.984 404.146 -56.613 -58.4 -58.527 -58.494 -57.736 -58.51 -58.399 -61.501 -50.9886869540709 -58.173729 -31.920138
"2496" "Lan1-CMP3365" "C15H17O3PS" 1.1 NA "CDCl3" 308.332441 15 0 1 3 "CCOP(=O)(S(=O)c1ccc(cc1)C)c1ccccc1" "S1O2O1C1" "Szabo, A., Jaszay, Z.M., Töke, L., Petnehazy, I.: Tetrahedron Lett. 45 (2004) 1991." 223.643 213.339 211.511 211.5 215.484 211.58 270.395 301.206 39.79 49.008 50.667 50.645 47.139 50.604 36.19 41.439 48.0267845783923 20.336368 48.628607
"2497" "Lan1-CMP3366" "C15H17O4P" 44.98 NA "CD3SOCD3" 292.266841 15 0 1 4 "COP(=O)(C(c1ccccc1)O)C(c1ccccc1)O" "O2O1C1C1" "Kaboudin, B., Haghighat, H.: Tetrahedron Lett. 46 (2005) 7955." 238.252 232.352 230.305 230.317 234.53 230.38 283.407 311.862 25.181 29.995 31.873 31.828 28.093 31.804 23.178 30.783 40.7546703679643 27.560278 46.867362
"2498" "Lan1-CMP3367" "C15H17P" -42.5 NA "C6D6" 228.269241 15 0 1 0 "CCC1=C(CC)CP1C#Cc1ccccc1" "C1C1C1" "Avarvari, N., Le Floch, P., Charrier, C., Mathey, F.: Heteroatom Chem. 7 (1996) 397." 319.986 318.916 318.771 319.201 318.659 318.877 358.549 405.796 -56.553 -56.569 -56.593 -57.056 -56.036 -56.693 -51.964 -63.151 -52.3082958290822 -64.771083 -46.636001
"2499" "Lan1-CMP3368" "C15H17P" 209.6 NA "C6D6" 228.269241 15 0 1 0 "CCc1cc(cpc1CC)c1ccccc1" "C2C1" "Avarvari, N., Le Floch, P., Charrier, C., Mathey, F.: Heteroatom Chem. 7 (1996) 397." 24.263 33.733 37.284 37.103 30.507 37.155 111.242 148.233 239.17 228.614 224.894 225.042 232.116 225.029 195.343 194.412 237.783537414453 220.310342 239.357822
